Company Name for Emails,# Employees,Industry,Company City,Keywords,Company Phone,Technologies, Annual Revenue ,Short Description,Founded Year,Company Size,Lead_Age,Revenue_Per_Employee
TransOn Movers,20,,Dubai,specialized in handling personal & household goods within uae & across the world,'+971 56 680 8663,"Cloudflare DNS, Mimecast, CloudFlare Hosting, Google Tag Manager, Google Dynamic Remarketing, Mobile Friendly, Google Font API, Facebook Custom Audiences, Facebook Login (Connect), DoubleClick Conversion, DoubleClick, WordPress.org, Bootstrap Framework, Facebook Widget",600000.0,"Top Rated Movers & Packers
10 + Years in Industry
Find us at :
UAE | MUMBAI | DELHI
BANGALORE | CHENNAI | COCHIN
#BringingYourThingsToYou",2010.0,Small,14.0,30000.0
Semsom,29,restaurants,Dubai,"lebanese, mediterranean, middle eastern, restaurants",'+1 212-979-2363,"Rackspace Email, Bootstrap Framework, Cloudinary, Apache, Mobile Friendly, Woo Commerce, WordPress.org, Google Font API, Google Maps, Remote, Circle",4716000.0,Semsom is a Lebanese restaurant with a twist! Everything we love about traditional Lebanese cuisine and much more!,2013.0,Small,11.0,162620.6896551724
Al Hutaib Computers & Network Solutions,19,computer & network security,دبي,"security solutions, software solutions, erp solutions, utm solutions, annual maintenance contracts, microsoft sharepoint, infrastructure setup, networking solutions, telephony solutions, hardware supply & maintenance, web development, mobile app, timechart, attendance software, ecommercewebsite",'+971 55 602 4245,"WordPress.org, Google Tag Manager, ASP.NET, Mobile Friendly, Google Font API, Microsoft-IIS, YouTube, Google AdSense, SAP, IoT, , AI, Proofpoint",1500000.0,"The technology segment in the UAE was very fragmented prior to 2001. Many smaller players provided single or couple of services or solutions in IT and networking space. By 2001, globalization had arrived in the UAE and many large enterprises demanded a single stop solutions provider for any and every type of IT needs – be it hardware, software, networking, security or manpower.  Al Hutaib Computers & Network Solutions (AHCNS) was set up in 2001 in order to address this particular need of the market. Read on and check out the ways in which you obtain maximum Returns on your investment when you choose AHCNS as your technology partner.

Why Us?
Esteemed customers in UAE and Dubai will agree that they cannot find a more reliable partner than AHCNS to provide immense customer satisfaction, maximum ROI, and amazing professionalism with the various IT services, solutions and IT infrastructure supply that we deal in. Our team of professionals displays a remarkable blend of creativity and practical application with the ideas and solutions devised to meet your specific set of business problems. All the solutions, hardware components, and software services we provide, display enormous emphasis revolving on meeting customer needs with ease.

Deep Domain Knowledge that facilitates Customized Solutions  
Rather than providing off-the-shelf solutions, AHCNS puts in efforts to sit with the client, discuss their business need in collaborating with us and then go on to propose appropriate solutions that is meant to solve exclusively their set of problems and help them improve efficiencies immensely at lower cost of operations. This competency arises from a deep domain knowledge from our experienced IT engineers and managers. The international standards of professionalism, customer focus and advanced technology knowledge is one the key factors why AHCNS has the ability to provide substantial value in our IT and networking service offerings",2001.0,Small,23.0,78947.36842105263
Beautiful Occasion Flowers,69,,Dubai,,,"Google Maps, Facebook Comments, ShareThis, Google Tag Manager, Facebook Like Button, Mobile Friendly, Apache",4888000.0,,2004.0,Medium,20.0,70840.57971014493
Kaftan Turkish Cuisine & Fine Art,47,food & beverages,Dubai,"turkish cuisine, ottoman cuisine, food, beverage, restaurants",'+971 50 887 5659,"Cloudflare DNS, Gmail, Google Apps, CloudFlare Hosting, Mobile Friendly, Google AdSense, Shopify, Remote",3882000.0,"KAFTAN Turkish Cuisine & Fine Art brings the spirit of Ottoman & Turkish Cuisine to the heart of Dubai at a unique location with a spectacular view of Burj Al Arab.

With a modern Turkish restaurant at the centre of great Turkish Hospitality & Culture, chefs and our team members will entertain all of our valuable guests with enthusiastic and interactive service approach and a wide selection of delicacies being served.

The menu at KAFTAN keeps traditional elements of Ottoman & Turkish cooking alive while creating a contemporary cuisine and a fusion representation for modern Dubai clientele.We are dedicated to the perfection, therefore we are pleased to provide our guest a total experience comprised of Ottoman & Turkish delicacies, great ambiance with a twist of contemporary KAFTAN art selections, minimalist & spacious interior design, soft and glistering tones of lighteneing, exquisite service approach and much more.

Because we believe that it is all about details, and the most importantly – tailor-made touches.",2013.0,Small,11.0,82595.74468085106
Dr. Shyam's Ayurveda Centre,20,alternative medicine,Dubai,ayurveda & medicine,'+971 56 115 1269,"Gmail, Google Apps, Yandex Metrica, Google Tag Manager, Mobile Friendly, Apache, Google Font API, Bootstrap Framework, Stamped, AI",3910000.0,"At Dr. Shyam's Ayurveda, we combine authentic Kerala Ayurveda treatments & herbs with a supportive lifestyle management system treating several chronic diseases. Our wide range of Ayurveda services are completely customized right from the diagnosis, to the selection of therapy and selection of herbs and oils according to one's body nature. Dr. Shyam's Ayurveda having its 5 branches in Dubai (Karama, Al Nahda, Jumeirah, Dubai Health Care City) and Ajman offers:

Ayurveda Consultation
Body Type Analysis
Traditional Kerala Therapies
Panchakarma Treatments
Membership Programs
Ayurveda Wellness
Ayurveda Pharmacy",2011.0,Small,13.0,195500.0
ePillars,19,information technology & services,Dubai,"medium amp large enterprises, erp, learning talent management systems, electronic signature, thin client solutions, excellent track record, digital signature, digicert, surveillance appliances, medium large enterprises, organizational chart maker, ingentis, smart home automation, organizational charting solutions, docusign, saba cornerstone, dvelop, qes, document management for sharepoint, ip pbx solutions, cafm, globalsign, insperity, facilities management, dedicated customer support, e signature, targeted for small, dedicated customer suppport, for smes & large enterprises, docuware, document management systems, digital certificates, erp solutions, ssl certificates, aes",'+971 4 326 3939,"Gmail, Google Apps, Microsoft Office 365, DigitalOcean, Salesforce, reCAPTCHA, Ubuntu, Google Analytics, Apache, Google Tag Manager, Bootstrap Framework, Google Font API, Facebook Login (Connect), Mobile Friendly, Facebook Widget, Remote, AI",4820000.0,"ePillars Systems LLC is a consulting and implementation partner for Digital Business Solutions & IT Solutions based out of Digital Silicon Oasis (DSO), Dubai. 

ePillars strives to be a 'customer-centric' systems integrator with a mission to assist organizations to use digital transformation and IT solutions as key drivers for organisational and business growth.  

Why ePillars:
- Partnered with market leaders for every solution
- Dedicated local support
- Integration expertise with a wide array of systems & solutions
- Long-term business partner with major medium to large enterprises & organisations including government, semi-government and private entities.  

Our Solutions include: 

1. Digital Signature & Electronic Signature Solutions 

- Simple Electronic Signatures (SES)
- Advanced Electronic Signatures (AES)
- Qualified Electronic Signatures (QES)

Electronic and Digital Signatures solutions are available for both cloud and on-premise.
 
2. Content Management & Automation

- Document Management Systems (DMS)
- Enterprise Content Managment (ECM)
- Document Workflow Automation 
- Invoice Processing 
- Employee Document Management

3. ERP Solutions

4. HR Visualization Tools

- Organization Chart Maker using Automated Org Charting

5. Learning Management Systems (LMS)
6. Talent Management Systems (TMS)
7. Performance Management Systems (PMS)
8. CAFM Solutions. 

We are partnered with DocuSign, emSigner, DocuWare, d.velop, GlobalSign, DigiCert, Ingentis, SABA+Cornerstone, VLogic.

We have valued clients across Middle East; in Dubai, AbuDhabi, Sharjah, Saudi Arabia, Qatar, Kuwait, Bahrain.",2007.0,Small,17.0,253684.2105263158
Scope Real Estate Dubai,19,real estate,Dubai,,'+971 4 346 7011,"Apache, YouTube, Bootstrap Framework, Mobile Friendly, Google Tag Manager, Google Analytics, LiveChat, Remote",3469000.0,"Scope Real Estate is a Dubai based real estate broker, concentrating on residential and commercial properties throughout Dubai. We provide a full range of real estate services to fit our client's needs and provide the best service and value for their investments in Dubai.",2009.0,Small,15.0,182578.94736842104
Arabian Falcon Electrical Equipment,33,oil & energy,Abu Dhabi,"hazardous, non hazardous areas, oil, gas, cable trunking, trays, ladders, glands, labels, lugs, markers, ties, connectors, crimping tools, marine, industrial lighting, flexible conduits, grp, stainless steel, exd, exe",'+971 2 554 1661,"Amazon AWS, Starfield, Mobile Friendly, Apache, AI, Remote",3958000.0,"Arabian Falcon Electrical Equipment was established in 2005, Abu Dhabi and has since grown progressively into one of the leading reputable and reliable provider of Electrical, Industrial and Mechanical goods, for hazardous and non hazardous areas. With a dedicated team of professional and experience technical staff we cater to various market segments including Oil and Gas, Power Generation, Transmission & Distribution, Sea ports & Airports, Industrial projects, Metro & Rail projects and other Commercial Sectors. 

AFEE represents (Agents and distributors) renowned global brands like-

Aftec- United Kingdom
Hawke International- United Kingdom
Chalmit Lighting- United Kingdom
HTS Hawke Transit- Spain
Silverfox- United Kingdom
Gersan- Turkey
Flexicon- United Kingdom
Rexway- Malaysia
Raychem RPG- India
Raxton- United Kingdom
Revalco- Italy
Rose- Germany
Killark- USA
FCG- India
Klemsan- Turkey
Burndy- USA
Bimed- Turkey",2005.0,Small,19.0,119939.39393939394
Sushi Counter,45,restaurants,Dubai,"sushi, japanese specialty rolls, sashimi",'+971 4 375 1095,"SendInBlue, Outlook, DigitalOcean, WP Engine, Mobile Friendly, Google Tag Manager, WordPress.org, reCAPTCHA, Nginx",3461000.0,"Sushi Counter's unique approach to Japanese cuisine:

Sushi Counter is a creative, responsible and progressive concept, made up of people who love life and who are passionate about sushi. Our team is dedicated to sharing our passion with experienced as well as first time sushi customers. One by one, we help them discover the fascinating art of sushi and show them that it can be an important part of a healthier and more enjoyable lifestyle.
We believe that healthy eating needs to stimulate the senses and inspire the soul. For us, a healthy lifestyle needs to include the notion of pleasure.

Our passion is to reinvent traditional Japanese cuisine by harnessing inspiration from various cultures around the world.We renew our collection every year, offering creations based on new trends and our travels.

Sushi Counter specializes in the creation of sushi, sashimi and other Japanese specialties rolls, freshly prepared in our boutiques by our own staff of sushi chefs.",2012.0,Small,12.0,76911.11111111111
Morison Menon Group,19,,,,'+971 4 276 2233,"Gmail, Google Apps",1169000.0,,1989.0,Small,35.0,61526.31578947369
Avantgarde Brand Services FZ,30,events services,Dubai,event management,,"Outlook, Cloudflare DNS, MailChimp SPF, CloudFlare Hosting, SendInBlue, Microsoft Office 365",2876000.0,"Founded in Munich in 1985, Avantgarde Brand Services is an owner-managed, global communications agency with a focus on experiential marketing.

Over 400 employees at 13 locations around the globe, including Dubai and Qatar, creating outstanding brand experiences. Well-known brands have been putting their trust in our work and partnership for years.

We cultivate an innovative and creative approach. Our work is underpinned strategically through constant engagement with target groups and a thorough understanding of brands.

Avantgarde is best defined as a strategic partner for integrated, long-term brand campaign planning. Our services inject excitement into brand experience, using all the relevant channels.

Our mission: Creating Fans.",1985.0,Small,39.0,95866.66666666667
Arabian Calibration Devices Rep Co,79,machinery,Sharjah,"calibration, calibration services, calibration company, lab calibrations, calibration repair, certification",'+971 6 534 5747,"Gmail, Google Apps, Woo Commerce, Nginx, Bootstrap Framework, reCAPTCHA, Google Font API, Mobile Friendly, WordPress.org, Google Tag Manager, Quantcast",693000.0,"Arabcal is an ISO/IEC 17025:2005 accredited calibration facility in the UAE.
We are one of the major players in the field of Oil and Gas, power, Marine, Aviation and Process Industries for Supply, Rental and after sales services as the authorized distributor and Service centres for many top brand products.",1995.0,Medium,29.0,8772.151898734177
Federal National Council,68,government relations,Abu Dhabi,,,"Outlook, Microsoft Office 365, Mobile Friendly, Webex, Bootstrap Framework, ASP.NET, SharePoint, Google Analytics",1300000.0,"المجلس الوطني الاتحادي هو السلطة الاتحادية الرابعة من حيث الترتيب في سلم السلطات الاتحادية الخمس المنصوص عليها في الدستور وهي:

- المجلس الأعلى للاتحاد.
- رئيس الاتحاد ونائبه.
- مجلس وزراء الاتحاد.
- المجلس الوطني الاتحادي
- القضاء الاتحادي. 
وعقد المجلس الوطني الاتحادي أولى جلساته بتاريخ 12/2/1972.

تشكيل المجلس: 

يتشكل المجلس الوطني الاتحادي من أربعين عضواً ، يتوزعون على الإمارات بحسب الدستور كما يلي:

- (8) مقاعد لإمارة أبوظبي.
- (8) مقاعد لإمارة دبي.
- (6) مقاعد لإمارة الشارقة.
- (6) مقاعد لإمارة رأس الخيمة.
- (4) مقاعد لإمارة عجمان. 
- (4) مقاعد لإمارة والفجيرة. 
- (4) مقاعد لإمارة أم القيوين.",2013.0,Medium,11.0,19117.647058823528
Zen Yoga,30,sports,Dubai,,'+971 4 422 4643,"Gmail, Google Apps, Google Tag Manager, Facebook Login (Connect), Google Play, Shutterstock, Apache, DoubleClick Conversion, Google Font API, Google Dynamic Remarketing, Facebook Custom Audiences, Google Analytics, DoubleClick, Mobile Friendly, WordPress.org, Facebook Widget, AI",3800000.0,"Zen Yoga is a new concept in Dubai: it's a full-time yoga and pilates studio , open from 7am - 9pm, offering all types of yoga.  The word yoga means unity or oneness, and on a more practical level, yoga is a means of balancing and harmonizing the body, mind and motions.  If you're new to yoga, this is the perfect time to 'try it out', and if you are an experienced yogi, we're sure that our studio in Dubai will meet your needs and more!!",2013.0,Small,11.0,126666.66666666667
InnerFight,25,"health, wellness & fitness",Dubai,"physical fitness, mental fitness, crossfit, endurance, weightlifting, ocr, nutrition, personal training, running, triathalon, fat loss, corporate performance, kids fitness, strength & conditioning, mobility",'+971 4 321 2899,"Outlook, Amazon AWS, GitHub Hosting, Webflow, Mobile Friendly, Facebook Custom Audiences, Google Tag Manager, Facebook Login (Connect), Facebook Widget, Android, Flutter, Remote, AI",1000000.0,"InnerFight was founded in 2008 and is Dubai's leading health and fitness company. Out of a 5,000 square foot gym, we help people from all backgrounds with a variety of different goals get better at life.

The core values of our company and community:
Hard Work, Honesty, Simplicity, Smash Life, Fun, and Mental Toughness

We offer a range of services, from daily Strength and Conditioning classes to Kids Fitness and Corporate Performance.

Visit our website or contact us to find out more and join the InnerFight community.",2008.0,Small,16.0,40000.0
Think Software services FZ,24,information technology & services,Dubai,"it services, business development, digital services, crm solutions, erp solutions, services, solutions, cloud solutions & services, information security, ict solution, managed services, project outsourcing",'+971 4 390 2155,"Outlook, Microsoft Office 365, Apache, Google Font API, Nginx, Mobile Friendly",4000000.0,"Think Software Services is an IT services, consulting and business Development organization that delivers real results to global business. TSS- value added reseller focused on network integration, security consulting and out sourcing services . For more information, visit us at www.thinkss.com.

Tickrin.com - real estate search portal focusing on Middle East markets.",2002.0,Small,22.0,166666.66666666666
Seven Media,77,public relations & communications,Abu Dhabi,"public relations, communications, content development, videography, social media, content creation, social, digital media, event management, government pr, consumer pr, corporate pr, influencer marketing, issues, crisis management, creative campaign development, website development, corporate affairs, social strategy, pr strategy, production, project management, training, integrated communications",'+971 50 812 0599,"Cloudflare DNS, ElasticEmail, Outlook, Woo Commerce, Cedexis Radar, Mobile Friendly, Vimeo, Adobe Media Optimizer, Google Font API, WordPress.org, Google Tag Manager, AI",4500000.0,"Seven Media launched in 2010 with a vision to modernise PR and communications in the Middle East. We are now one of the most dynamic communications agencies in the Middle East, setting the standard in the region - with a global reach.

Our expert team of storytellers, creatives and digital natives deliver powerful and innovative PR, digital and social media campaigns, video production and photography.

From government, travel and automotive to sport, lifestyle and leisure - we have a standout portfolio of work across sectors, an undeniable passion for the industry and a proven track record for telling the stories of some of the biggest brands in the region.

With more than 25 industry awards - including PRCA agency of the year twice and PRWeek Middle East Agency of the Year - Seven Media is one of the most awarded independents in the region.

Offices in Abu Dhabi, Dubai, Saudi Arabia, London and Singapore combined with a partnership with international agency Alison and Partners means we have global reach into all major media markets, connections with the biggest names in regional and international media, and the ability to bring your story to life on a global scale. 

Let us tell your story.",2010.0,Medium,14.0,58441.55844155844
Metroplus Advertising Dubai,29,electrical/electronic manufacturing,Dubai,"signage, handmade signage, digital signage, custom signage, led signage, neon signage, manufacturing, metal cnc, laser cutting, projects, architectural, lighting, facade, decor, bespoke lighting, digital bespoke, custom lighting, architectural lighting, handcraft",'+971 4 258 5754,"Cloudflare DNS, Gmail, Google Apps, CloudFlare Hosting, WordPress.org, Mobile Friendly, Google Analytics, Google Tag Manager, Google Maps, Google Font API, Remote, AI",2677000.0,"Metroplus advertising L.L.C specializes in signage and graphics for retail, business and public environments. We are dedicated to developing quality signage solutions according to users exact specifications by highly skilled craftsmen,providing excellent value -on time,every time. Metroplus has been succeeded to build loyal patronage by providing our clients with quality, reliability, efficiency and innovation in a highly dedicated and friendly manner.",2005.0,Small,19.0,92310.3448275862
Business Setup Consultants,30,management consulting,Dubai,"united arab emirates, dubai, company incorporation, freezone company setup, offshore company formation, dubai company incorporation, dmcc company incorporation, hamriyah company incorporation, ded company incorporation, company set up dubai, business set up dubai, trade license",'+971 4 430 1245,"MailJet, Gmail, Outlook, Google Apps, JivoSite, DoubleClick, Google Font API, Google AdWords Conversion, DoubleClick Conversion, WordPress.org, Google Dynamic Remarketing, reCAPTCHA, Google Tag Manager, Vimeo, Bootstrap Framework, Mobile Friendly, Typekit, Google Maps (Non Paid Users), Google Maps, Basis",3800000.0,"Business Setup Consultants DMCC provides a genuine 'customer focused' experience for it's clients. YOUR premier business set up or company setup provider in Dubai, Ajman Free Zone, Hamriyah Free Zone, Dubai Multi Commodities Centre (DMCC) and RAKIA.

There are many companies in UAE which offer business solutions. Two main criteria separates the good from the bad.

-Honesty – we will always be 100% open and honest regarding any fees and charges.   Unlike many of our competitors we won't attempt to hide fees or overcharge on government costs just to increase profit, we believe in complete transparency. We also won't advertise any services for a ‘special' cost which is lower than the amount you have to pay. Saying a service costs ""from"" AED 5,000 when we know it costs AED 7,500 is not only dishonest but it creates the wrong impression. We always provide provide our client's complete set of receipts so that the actual costs and fees are clear transparent.

-Service – a company is measured by the satisfaction of its clients.  At Business Setup Consultants we don't want our clients to be just satisfied, we want them to be delighted!  We will happily go the extra mile to ensure that each client receives the highest level of service and the most straightforward, hassle-free experience.  If our clients aren't happy then we aren't happy.

============================================================

Start Business in the UAE in just 2 days.
100% ownership. Company Registration, Trade License and Visa(s).",2014.0,Small,10.0,126666.66666666667
Blue Marin Management Consultancies,17,human resources,Dubai,"executive, management search, outsourcing services of accounting, finance department, training, development, auditing your existing accounts, human resources consultancy, settingup your activities in the middle east, implementing your erp",'+971 4 450 8600,"Amazon AWS, Mobile Friendly, Google Maps, Google Maps (Non Paid Users), Bootstrap Framework, Google Tag Manager",3617000.0,"Blue Marin Management Consultancies was founded in May 2007 in Dubai, United Arab Emirates to help and support our clients in setting-up in the Middle East, in recruiting the right people, in finding the right partner in the Middle East, in developing their employees and in managing their financials and their accounts.

As a matter of fact, we are Management Consultants so we aim to help companies to improve and enhance their performance through Executive Search, Training & Development for their managers and their Top Management, Executive Coaching, and Corporate Financial Advisory in order to optimize their organization, their business model, their shareholding, their capital structure and enhance their Management leadership skills. 

In order to better serve our clients, we have three distinct divisions: Executive Search, Training & Development and Business/Corporate Finance Management.

We have decided to dedicate one expert per activity so that our clients can clearly identify the future  project leader when they will be working with us.",2007.0,Small,17.0,212764.70588235295
Fiesta,23,information technology & services,Dubai,"property management software, gaming, casino management software, loyalty management software, custom software development, hotel management software, restaurant point of sales software, central reservations software, real estate management software",'+1 888-694-6735,"Blue Host, Apache, Bootstrap Framework, Mobile Friendly, Facebook Login (Connect), Google Analytics, Facebook Widget, Bootstrap Framework v3.1.1",644000.0,"Fiesta Systems is an international software solution provider and has evolved from its establishment in the mid 1980's specialised in the hospitality industry into the group it stands today. We provide our customers with the latest technology based on your industry and adapt it to your changing needs.

In recent years Fiesta Systems has seen tremendous changes having changed from a single targeted market to have truly international presence and across multiple industries.

Fiesta Systems team does not only comprises of dedicated and qualified team of developers, trainers and support engineers offering you 24/7 assistance, which guarantees high quality services for our clients. But also has a team with a wealth of experience as an operator within each industrial field we target.
We believe that continuous development, maintenance and ease-of-use are crucial for the success of Fiesta systems world-wide.

Fiesta Systems now provides software for managing Casinos, slot routes, gaming parlours as well as on-line gaming",1986.0,Small,38.0,28000.0
DC PRO Engineering,52,design,Dubai,"district cooling, combined heat, power, trigeneration, full fledged green building mep services, power generation, water recycling, industrial control, renewable energy, energy efficiency",'+971 4 343 2110,"Outlook, Microsoft Office 365, Google Cloud Hosting, Mobile Friendly, Google Font API, Nginx, WordPress.org, Google Maps",4932000.0,"DC PRO Engineering is a recognized world leader in the fields of District Energy, Co-generation and Tri-generation. The firm is also a renowned sustainability leader in the field of Green Building MEP Designs.

DC PRO's services include engineering design, consulting, and project management in:
 - District Cooling
 - Combined Heat & Power (CHP) Co-generaion and Tri-Generation
 - Green Building MEP Design
 - Renewable Energy

Other services include engineering reviews, feasibility studies, efficiency monitoring and recommendations for energy performance improvement.

Thanks to its continuous strive for excellence and human capital investment, DC PRO has received numerous awards. 

Out of 55,000 SMEs registered, DC PRO Engineering was ranked one of 7 top A+ SMEs'​ companies in Dubai in 2016. DC PRO has been awarded an A+ grade in The SME Rate Framework program by Dubai SME, the division set up by the Dubai Department of Economic Development to help grow Small to Medium Enterprises in the emirate. 

In recognition to its innovative and superior quality designs, DC PRO was selected as Best District Cooling Consultancy Company for 2012 ,2013 and 2014, 2015, and 2016 by Climate Control Magazine/ CPI Industry. In addition, DC Pro Engineering scooped The Honorable Sustainable Project of the Year Award by Climate Control Magazine/ CPI Industry for Innovation Park Muscat Project in Oman.

We have several international projects in our portfolio starting from Sydney Barangaroo South, Singapore Marina Bay Sands, Several Hilton Hotels in Kampala, Chad, Abuja, Seychelles, Iraq, Lebanon and the GCC. 

A World Record of more than 3 Million Tons of District Cooling & 300 MW of Tri-generation designed and several are in operation or under construction. 

We strive to excel by not only serving our clients to the highest standards, but to lead the industry and be role models for the world to follow.",2006.0,Medium,18.0,94846.15384615384
Al Moghera,12,chemicals,Al Ain,"acidizing products, cementing additives, drilling fluids, fracturing additives",'+971 2 551 5454,"Microsoft Office 365, Barracuda Networks, Mobile Friendly, reCAPTCHA, Google Font API, Microsoft-IIS, Google Tag Manager, ASP.NET, Data Analytics",2316000.0,"Established in the United Arab Emirates in 1978, Al Moghera is a leading oilfield chemicals manufacturing company based in the Middle East We provide chemical products and solutions in cementing, drilling, stimulation, and production and are specifically targeted to work with oilfield service companies.Amidst our rapid growth, we continue to prioritize our customers' needs by beginning each project with an in-depth evaluation of the customer's specific issues.Al Moghera looks forward to working with every client to improve their existing products and services or to co-develop new products to enhance the client's position in the market.",1978.0,Small,46.0,193000.0
First Resort Global Recruitment,21,staffing & recruiting,Dubai,"recruitment, headhunting, search, selection, executive, staffing",,,3882000.0,,2006.0,Small,18.0,184857.14285714287
Progress Management Consultants,11,management consulting,Dubai,"training management optimization, presence across gcc uae regions, tailored soft skills amp technical skills inhouse amp public programs, experienced bilingual specialized trainers with extensive diverse training skills, tailored soft skills technical skills inhouse public programs, training amp management optimization, presence across gcc amp uae regions, experienced bilingual specialized trainers with extensive amp diverse training skills",'+971 4 332 5584,,2000000.0,"Progress Management Consultants is among the Middle-East's top rated firms operating in the Middle East & North Africa Regions. The Group provides world class training & consulting services that adopts Global Best Practice in a robust and meticulous all rounded offerings in the development of the Human assets. 
  
The Group specializes in the People Development & Management Systems and provides its state-of-the-art skills development programs supporting the Human Capital Development of its global and leading business industries in the Region. We achieve that by working with our clients on developing localized and tailor-made solutions for supporting their strategic talent management programs and focusing on developing their people's skills both technical & soft skills alike.

Find out more by checking our website www.promc.com",1998.0,Small,26.0,181818.18181818182
MoonJet Flight Support,45,airlines/aviation,Dubai,"aircraft handling arrangements, aircraft charters, hotel accomodation booking, aircraft catering services, aircraft supervision, trip management, cost saving consultation services, jet fuel reselling, flight support, international trip planning, trip support, flight planning, aviation clearances, aviation catering, ground handling, trip cost estimates, ground handling coordination, overflight permits, landing permits, weather briefing, general aviation, private aviation",'+1 866-766-6653,"Cloudflare DNS, Outlook, Microsoft Office 365, CloudFlare Hosting, Bootstrap Framework, WordPress.org, Adobe Media Optimizer, Google Font API, Mobile Friendly, Linkedin Login, Vimeo, reCAPTCHA, Cedexis Radar, Linkedin Widget, Basis",2208000.0,"MOONJET is a leading global flight support services provider specializing in servicing corporate, charter, commercial and cargo flight operations around the globe.

We offer an excellent full service, reliable, high quality, with international standards for all type of flights from A to Z, which we can guarantee through our massive communication network and great partnerships covering the entire world.",2009.0,Small,15.0,49066.666666666664
Iris Executives,44,human resources,Dubai,"emiratisation, search & placement of uae nationals, executive search firm specialised in placing uae nationals, executive search, headhunting firm in the uae, recruitment company for top executives",'+971 50 943 6873,"Blue Host, Zoho Email, GetResponse, SparkPost, MemberPress, The Trade Desk, comScore, OwnerIQ, Google Tag Manager, VigLink, Shutterstock, Shareaholic Content Amplification, YouTube, WordPress.org, Google Font API, Mobile Friendly, Gravity Forms, Tynt, Lotame, Google Analytics, Bootstrap Framework, Nginx, Woo Commerce",2443000.0,"Iris Executives is a brand of IRIS GROUP.

Iris Executives was born from a concept, the idea that things can be better out there and that the best recruitment consultancy was yet to be created. For us, Business Success means ""Improving People's life"", and that's our motto. 

Iris Executives is an ambitious boutique organization that has been established in 2010. We have since then continuously stunned the market with an innovative approach to recruiting Executive Emirati talent. 

""Our mission is to improve people's life by tirelessly striving to connect talent and opportunities. We design recruitment solutions that open minds, unlock people's full potential and inspire organizations performance."" 

OUR VALUES: 
•	Ambition (Driven by our Mission and Vision) 
•	Kaizen (Continuous improvement in everything we do, including our People, Processes & Services) 
•	Integrity (Unshakable integrity towards our people, clients and candidates) 
•	Innovation (Keeping the market on the edge of their seats) 
•	Giving Back (Extending our motto to others: ""Improving People's Life"") 

If it wasn't for the trust that our employees had in us when they joined IRIS Executives, we would never have accomplished so much in such a short time and we are forever grateful. 

Our motto, ""Improving People's life"" is our inexhaustible source of inspiration, and IRIS Executives was only to be created as a vehicle to enable our motto to apply to our people, our candidates, our clients and anyone we touch.",2010.0,Small,14.0,55522.72727272727
DMS (Digital Media Services,92,,Dubai,exclusive digital media representation,'+971 4 454 5454,"Linkedin Marketing Solutions, reCAPTCHA, Google Font API, Mobile Friendly, Disqus, Nginx, Vimeo, Google Tag Manager, Remote",3575000.0,"Incorporated in 2010, Digital Media Services (DMS) serves as Choueiri Group's dedicated digital media arm, exclusively representing leading websites belonging to Choueiri Group's media partners and other exclusive representations signed on directly by DMS.
Headquartered in Dubai, with presence in key regional markets, the DMS premium portfolio of regional online and mobile offerings is aimed at strengthening the value and effectiveness of the communication solutions which the Group delivers. 

Choueiri Group is the leading media representation group in the Middle East. Operating in 9 markets covering the MENA region, Europe and Japan, the Group ensures the best support for its regional and international clients through its extensive network of 12 subsidiaries, 2 representative offices and more than 600 committed executives.",2010.0,Medium,14.0,38858.69565217391
Skyrocket Training,24,professional training & coaching,Dubai,"professional training, personal development programme, language courses, soft skills training, computer courses",'+971 50 639 7658,Remote,5000000.0,,2012.0,Small,12.0,208333.33333333334
HorizonSat,11,telecommunications,Dubai,"vsat networks, tv distribution, backbone connectivity, tv contribution, managed broadband, fibre, ip connectivity, private networks, space segment, disaster recovery, managed playout, gsm backhauling, managed uplink, turnkey services, ip trunking",'+971 4 391 5122,"Outlook, Microsoft Office 365, Ubuntu, StatCounter, WordPress.org, Apache, Google Tag Manager, Google Analytics, Mobile Friendly, Nginx, Google Font API, Data Analytics, , Remote, AI",2000000.0,"HorizonSat - connecting people across horizons

HorizonSat, with its strong presence in the satellite communications industry in the Middle East, Asia and Africa, provides satellite services to large corporations, telecom operators, broadcasters and ISPs. 

Leveraging the latest innovations in satellite technology, HorizonSat delivers quality end-to-end customized solutions to its clients. 

Operation out of its headquarters and state-of-the-art network operations center in UAE, with teleport facilities in Germany, HorizonSat ensures uninterrupted transmissions through unparalleled redundancy and a superior level of technical support on a 24/7 basis.",2001.0,Small,23.0,181818.18181818182
