Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At, Annual Revenue ,Number of Retail Locations,Apollo Account Id,SIC Codes,Short Description,Founded Year,Logo Url,Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score
Innovarge,Innovarge,Cold,,28,investment management,abdullahshami97@gmail.com,http://www.innovarge.com,http://www.linkedin.com/company/innovarge,https://facebook.com/innovarge,https://twitter.com/innovarge,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates","e-commerce, fin tech, consumer internet, internet, information technology, consultancy, outsourcing, website design & development, custom application development, social media management & development, domain registration, hosting, mobile commerce, ecommerce, banking solutions",'+971 4 814 1910,,"Cloudflare DNS, Gmail, Google Apps, CloudFlare Hosting, Google Font API, Mobile Friendly, Bootstrap Framework, Android, Node.js",,,,,545000.00,,66dbffc11be2b000011d3ef8,"7373, 7371, 7372","Innovarge is built on the philosophy of partnerships. This has led Innovarge to expand in several dimensions. The collective strength supported by specialists worldwide guarantees that the best solution is provided to our customers.

We provide consultancy, outsourcing, development and management solutions including host of pre-built applications.

Our key areas of expertise are mobile / electronic commerce solutions, payment solutions, middle-ware solutions for systems integration.
 
We are also partner and reseller for several technology solution companies.",2011,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66c7f6e6cae1420001a48929/picture,,,,
Fragrance Delivery Technologies Ltd.,Fragrance Delivery,Cold,,56,mechanical or industrial engineering,abdullahshami97@gmail.com,http://www.oxygenpowered.com,http://www.linkedin.com/company/fragrance-delivery-technologies-ltd-,https://facebook.com/oxygenpowered,https://twitter.com/OxyGenPowered,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates",,'+971 4 887 0577,,"Gmail, Google Apps, Remote, Circle",,,,,1400000.00,,66dbffc11be2b000011d3f01,,"Our eco-friendly air-freshening systems use patented ‘Oxy-Gen Powered' technology for continuous round the clock fragrancing, the most effective odour elimination, significant cost-in-use savings, consistent performance and silent & hassle free operation.

contact us at: communications@oxygenpowered.com",,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66dbefe9438a8800015bd3c9/picture,,,,
Sentinel Dubai,Sentinel Dubai,Cold,,14,real estate,abdullahshami97@gmail.com,http://www.sentineldubai.com,http://www.linkedin.com/company/sentinel-business-centres,https://www.facebook.com/sentineldubai/,http://twitter.com/sentineldubai,1 شارع الشيخ زايد,Dubai,Dubai,United Arab Emirates,,"1 شارع الشيخ زايد, Dubai, Dubai, United Arab Emirates","business setup, serviced offices, free zone license",'+971 4 305 0600,"Sentinel offers serviced offices, coworking spaces, meeting rooms, and 
virtual office packages for rent at the H Hotel Office Tower on Sheikh 
Zayed Road in Dubai. We also provide DED license and Free Zone business 
setup services as well as ongoing PRO support.","Shutterstock, Typekit, DoubleClick Conversion, YouTube, Google Analytics, Google Tag Manager, Mobile Friendly, Google Dynamic Remarketing, DoubleClick, Data Analytics, Basis",,,,,4015000.00,,66dbffc11be2b000011d3f05,,"We understand business in the Middle East.

With years of market knowledge and experience working with clients across many diverse sectors, the team at Sentinel can help with everything you need to get your business set up and running in the most efficient manner possible.

We have combined Grade A serviced offices with a complete company formation service that makes Sentinel a true one stop shop for all your business requirements. The team is available to help with every aspect of your business through a range of in-house services and third party relationships.

Our unique all-in­clu­sive billing mech­a­nism al­lows you to better man­age your cash flow by com­bin­ing all of­fice and com­pany for­ma­tion charges into sin­gle equal monthly pay­ments. There are no hid­den costs which means that you know ex­actly what your in­voice will be each month.",2007,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66a1bf3bfee87f0001fd35fe/picture,,,,
Europe Emirates Group,Europe Emirates Group,Cold,,59,management consulting,abdullahshami97@gmail.com,http://www.uae-eu.com,http://www.linkedin.com/company/europe-emirates-group,https://facebook.com/uaeeu,https://twitter.com/uaeeu,140 شارع الشيخ زايد,Dubai,Dubai,United Arab Emirates,,"140 شارع الشيخ زايد, Dubai, Dubai, United Arab Emirates","dubai company formation, uae company formation, rakez company formation, rakicc company formation, advantage plus corporate services, advantage plus elite, golden visa assistance, dubai offshore, uae free zones, banking, financial, uae visa, residency, worldwide offshore, citizenship, management services, wills, probate, family office services, virtual offices, real estate, rak offshore, yacht registration, us, canada company",'+971 4 705 0044,,"Cloudflare DNS, Gmail, Pardot, Google Apps, CloudFlare Hosting, Amplitude, Digital Ocean Spaces, Hotjar, Google Tag Manager, LiveChat, Google Dynamic Remarketing, Facebook Custom Audiences, Facebook Login (Connect), Trustpilot, Google Maps (Non Paid Users), WordPress.org, Linkedin Marketing Solutions, Google Font API, Google Analytics, Google Maps, Facebook Widget, DoubleClick, DoubleClick Conversion, Mobile Friendly, Bootstrap Framework, Reviews",,,,,3078000.00,,66dbffc11be2b000011d3f06,7380,"Europe Emirates Group is a leading corporate solutions firm offering a full range of legal, financial and advisory services for those looking to trade, invest and build wealth beyond borders. 

We are a group of international business strategists focused on crafting implementing solutions that best meet our clients' needs while fully operating within legal frameworks. Our clients include individuals and corporations of all sizes and operate in highly-complex fiscal, legal and financial contexts. 

We offer customised, innovative, cost-effective solutions with personalised service of the highest quality you'll find on the market. We provide solutions from our headquarters in the heart of Dubai's financial district in more than 60 jurisdictions worldwide. Our dynamic and experienced team will be at your disposal every step of the way, all while ensuring the highest level of confidentiality, legal compliance and efficiency in our operations.",1980,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66d25913a8ab570001d20471/picture,,,,
Dr.Ehab's Dental Clinic,Dr.Ehab's Dental Clinic,Cold,,10,medical practice,abdullahshami97@gmail.com,http://www.drehabdentalclinic.com,http://www.linkedin.com/company/dr-ehab's-dental-clinic,https://facebook.com/drehabdentalclinic,https://twitter.com/DrEhabDentaCLK,181 B Al Wasl Road,Dubai,Dubai,United Arab Emirates,,"181 B Al Wasl Road, Dubai, Dubai, United Arab Emirates","dental surgeon, orthodontist, dental implantologist, endodontist, gp dentist, cosmetic specialist",'+971 4 346 1546,,"Amazon AWS, Android, Canal",,,,,743000.00,,66dbffc11be2b000011d3f07,"8000, 8060","Dr. Ehab's Dental Clinic, Jumeirah, Dubai was founded in 1995 by Dr. Ehab Rashed – an expert in implantology and cosmetic dentistry. When Dr. Ehab started the clinic in 1995, he had a vision and a sacred mission on how he wanted to build up his dental practice. He set up the practice under his strict guidelines and values to provide the best dental services in Dubai. He slowly and steadily developed a team of specialist dentists who shared his vision and values, kept himself up to date with the latest advancements in Implantology and Cosmetic Dentistry and equipped his clinic with the latest equipments, technologies and well trained staff.
Dentistry is a broad and sensitive subject that can hardly be mastered by a single person. That is why at Dr Ehad's Dental Clinic, Jumeirah, Dubai we have a team of specialists to ensure that you only get the best services at an affordable cost. Our team of experts includes:
Cosmetic Specialist
Dental Surgeon
Implantologist
Orthodontist
Periodontist
Visit our website to find out more about great team of dentist in Dubai @ Dr.Ehab's Dental Clinic, Jumeirah, Dubai
http://drehabdentalclinic.com/about-dr-ehab-dental-clinic/",1995,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6691499988837a000187c473/picture,,,,
Epic Rent a Car,Epic Rent a Car,Cold,,19,transportation/trucking/railroad,abdullahshami97@gmail.com,http://www.epicrentacar.com,http://www.linkedin.com/company/epic-rent-a-car,https://facebook.com/Epicrentacar,https://twitter.com/epicrac,,Abu Dhabi,Abu Dhabi,United Arab Emirates,,"Abu Dhabi, Abu Dhabi, United Arab Emirates",car rental,'+971 2 676 7400,The Journey is as important as destination,"Microsoft Office 365, Apache, WordPress.org, Mobile Friendly",,,,,3773000.00,,66dbffc11be2b000011d3f0d,3537,"A vehicle renting and leasing company based in Abu Dhabi, offering competitive rates for personal and corporate customers. With our expertise, we can help you to plan, budge and choose the right vehicles best suited for your business.  

Advantages to leasing: 

> No large payment of cash at the start of the leasing period. 
> Monthly repayments are lower than purchase options making this a good short-term way of driving the car of your choice. 
> Full insurance and maintenance packages. 
> Replacement vehicles when your vehicles are in for a service. 
> Gives you the option to change your car at the end of the leasing period rather than being stuck with a car that you might consider out-dated, or that has been worn down through use. 
> Simplicity - When the contract period ends you simply settle the agreement and walk away.",2009,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66d8ae575446ae0001f472a8/picture,,,,
Techlink Systems LLC,Techlink,Cold,,50,retail,abdullahshami97@gmail.com,http://www.techlinksys.com,http://www.linkedin.com/company/techlink-systems-l.l.c,https://facebook.com/techlinksys,https://twitter.com/Techlinksys,شارع النهدة,Dubai,Dubai,United Arab Emirates,,"شارع النهدة, Dubai, Dubai, United Arab Emirates",,'+971 4 263 1717,,"Magento 2 Community, InMotion Hosting DNS",,,,,2891000.00,,66dbffc11be2b000011d3f10,,"Techlink Systems LLC  is an electronics retailing company, with its head-office in Dubai, UAE. Founded in the year 2000, the group since then has embarked on an aggressive expansion plan - which grew into a chain with several outlets across the UAE, Oman, Qatar, Kuwait, and India. 

The online portal of Techlink www.Techlinksys.com aims to provide a hassle free and enjoyable shopping experience com for all your mobile and computing needs.  We have the widest range of brands and products on this portal offering a wide variety of latest and trendiest computing gadgets and related devices.",2000,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66bad14c44d58f0001b4ca58/picture,,,,
Lux Actuaries & Consultants,Lux Actuaries & Consultants,Cold,,75,financial services,abdullahshami97@gmail.com,http://www.luxactuaries.com,http://www.linkedin.com/company/lux-actuaries-&-consultants,,,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates","general insurance, property, casualty, reserving, pricing, financial condition reporting, business plans, licensing, ipos, rights issues, reinsurance, alm, strategic, management information systems, peer review, health, life insurance, retail credit assessment, orsa, solvency ii & ifrs 17, banking, ifrs 9, credit risk modelling, operational risk modelling, market risk modelling, predictive analytics, loyalty & rewards, enterprise risk management, data analytics & machine learning, acuaries & actuarial consulting, employee benefits, ias 19, pension plans",'+971 4 876 8530,"Lux Actuaries & Consultants is an independent actuarial consultancy with offices in Bahrain, Cyprus, Greece, India, Kuwait and the UAE.","Gmail, Google Apps, Microsoft Office 365, Google Cloud Hosting, Nginx, Cloudinary, Google Analytics, Google Tag Manager, Ubuntu, Mobile Friendly, Data Analytics, , AI, Alteryx",,,,,5000000.00,,66dbffc11be2b000011d3f11,,"Welcome to the Lux Actuaries & Consultants page!

Lux is the premier actuarial consultancy in the Gulf (GCC) and Africa in terms of accessibility, service, and in adding value to our clients. We have offices in Abu Dhabi, Bahrain, Dubai, Egypt, Greece, India, Kenya, Kuwait, Mexico, Netherlands, Nigeria, Saudi Arabia, Sierra Leone and South Africa.

Lux offers access to a wide network of professionals across our 14 regional offices. Our expert actuaries have international and diverse knowledge and experience across various financial fields, as well as local expertise in regions where we operate.

Our practice leaders hold professional qualifications from:

► the Institute and Faculty of Actuaries (IFoA)
► the Society of Actuaries (SOA)
► the Casualty Actuarial Society (CAS),
► the Actuarial Society of South Africa (ASSA),
► the Institute of Actuaries of India (IAI),
► the Hellenic Actuarial Society (HAS)
► the Actuarial Society of Kenya (TASK),
► the Actuarial Society of Tanzania (AST),
► the CERA Global Association (CGA)
► the CFA Institute (CFA)
► the CAIA Assocation (CAIA)
► the Insurance Institute of India (III),

Our depth of knowledge and experience is unmatched in our regions of practice. We tailor our solutions to the specific needs of our clients and deliver advice to the highest standards.

We provide solutions in the following practice areas:

👉 Life Insurance
👉 General Insurance
👉 Health Insurance
👉 Motor Insurance
👉 IFRS 17
👉 Employee Benefits & IAS19 valuations
👉 Social Security
👉 Banking
👉 IFRS 9
👉 Data Analytics
👉 Enterprise Risk Management (ERM)

Our qualified & experienced actuaries welcome your interest in Lux and in our services. Feel free to contact any of our professionals for more information by clicking on the Contact Us button at the top of the page or following the link to our website below.

You can send your CV to work@luxactuaries.com.",2005,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66c959c29e4bd80001b90061/picture,,,,
Falaknaz - the Warehouse LLC,Falaknaz,Cold,,12,furniture,abdullahshami97@gmail.com,http://www.falaknazthewarehouse.com,http://www.linkedin.com/company/falaknaz---the-warehouse-llc,https://facebook.com/falaknazthewarehouse,https://twitter.com/TheWarehouse_ae,22 5A Street,Dubai,Dubai,United Arab Emirates,,"22 5A Street, Dubai, Dubai, United Arab Emirates","indoor teak furniture, outdoor teak & synthetic rattan furniture, custom made furniture, umbrellas, gazebos, furniture restaining, awning, pergola, solid wood furniture",'+971 4 328 5859,,"Google Cloud Hosting, Remote",,,,,2158000.00,,66dbffc11be2b000011d3f4c,,"The Warehouse was established in 1996 by Interior designer Therese Foot at a time when furnishing choices in Dubai were limited and the oriental and colonial decor style was just reaching the region. 

Initially offering solid teakwood Interior Furniture, the range grew to include other furniture and handicraft products made from natural materials such bamboo, rattan, water hyacinth and coconut.
In 2002 the business became Falaknaz The Warehouse LLC in partnership with Abdul Rahman and Amin Falaknaz and Therese and Bruce Foot. The Falaknaz Group has an extensive business history in Dubai specializing in property, trade and commerce over the past 30 years. 

Product ranges have expanded over the years to keep pace with ever changing styles and market trends.

In addition to ever popular Teak Garden Furniture we offer Synthetic Garden Furniture, more costly but giving less maintenance.

We offer Shade Structure gazebos with Canvas, Grass or Wood Shingle Roofs. We represent Glatz supplying high quality Umbrella for Homes and Projects around the UAE.  We also supply Awnings and Retractable canopy pergolas for Projects and homes in the UAE.

We hold stocks of many of our most popular lines but customers are able to order from catalogues which can be viewed at our outlets. Because of the volume of business we do here, shipments are frequent which means we are able to respond comparatively quickly to our customers orders.",1996,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66c44a0fc3902100015efec4/picture,,,,
Broadway Travels,Broadway Travels,Cold,,15,"leisure, travel & tourism",abdullahshami97@gmail.com,http://www.broadwaydubai.com,http://www.linkedin.com/company/broadway-travels,https://facebook.com/BroadwayDubai,https://twitter.com/broadwayDubai,شارع 6,Dubai,Dubai,United Arab Emirates,,"شارع 6, Dubai, Dubai, United Arab Emirates","flight tickets, hotel bookings, desert safari, dhow dinner cruise, sea plane adventure, hot air balloon, car rentals, chauffeur services, yacht charter, meet, greet service at the airport, sport fishing, helicopter ride",,,Amazon AWS,,,,,2839000.00,,66dbffc11be2b000011d3f4f,7900,"By offering a first class, personal service and using our local knowledge, experience and contacts, we are proud to SERVE our customers with tailor-made solutions.

To be the preferred incoming travel agency of First Choice for our Customers, Suppliers, Associates, Tour Operators travelling to Dubai as a Destination.",,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66597bd85220240001737437/picture,,,,
JRD Group,JRD Group,Cold,,36,information technology & services,abdullahshami97@gmail.com,http://www.jrdgroup.com,http://www.linkedin.com/company/jrdgroup,https://facebook.com/jrdgroupuae,https://twitter.com/JRDGroup,First Al Khail Street,Dubai,Dubai,United Arab Emirates,,"First Al Khail Street, Dubai, Dubai, United Arab Emirates","software development, customer relations management systems, online classifieds portals, website development, crm development",'+971 4 420 1044,,,,,,,4420000.00,,66dbffc11be2b000011d3f55,7371,"JRD Group is a Dubai-based technology enterprise dedicated to passionately innovating the web. We're solving big problems in the region's real estate sector; helping millions of property seekers, sellers, investors and professionals find, buy and sell property through simple yet sophisticated technology.

Founded in 2008, our mission is to redefine the property search experience through pioneering and industry-leading technology; making it universally accessible and delivering value to end-users, investors, agencies and brokerages in the commercial and residential real estate markets. 

Our current suite of feature-rich products include the UAE's leading property portal www.JustProperty.com, Qatar property portal www.JustProperty.qa, Saudi property portal www.JustProperty.sa and our proprietary real estate software, PropSpace. 

We are big believers in the power of technology to improve the lives of people and relentless in our pursuit of creativity, excellence and innovation. Our diverse and talented team includes technology experts, creative solution architects, savvy marketeers, dedicated sales professionals and a world-class support team. Our developers regularly contribute to Open Source projects for the benefit of the wider web community.",2008,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66bccb3f79e0ea00013d7026/picture,,,,
Punch®,Punch®,Cold,,23,design,abdullahshami97@gmail.com,http://www.brandsthatpunch.com,http://www.linkedin.com/company/punch-design-llc,https://www.facebook.com/punch.em/,https://twitter.com/punch_em,1 بوليفارد محمد بن راشد,Dubai,Dubai,United Arab Emirates,,"1 بوليفارد محمد بن راشد, Dubai, Dubai, United Arab Emirates","branding, graphic design, web design, packaging design, advertising, creative, digital marketing, communication, branding for smes",'+971 4 321 4114,"Punch is a top design, branding and marketing agency that will boost your business with top-quality, innovative brand design that putting you ahead and guaranteeing worldwide success.","Gmail, Google Apps, Amazon AWS, Outlook, Microsoft Office 365, Active Campaign, Webflow, Drupal, Typekit, Mobile Friendly, Linkedin Marketing Solutions, reCAPTCHA, Google Tag Manager, Basis",,,,,3062000.00,,66dbffc11be2b000011d3f63,,"Punch is a global branding agency specializing in design thinking and brand development since 2008. 

Our goal is to drive substantial growth for innovative companies.

We utilize our bespoke Brands That Punch™ approach, concentrating on three key pillars: Purpose (uncover a unique value proposition), Personality (establish a memorable visual identity), and Performance (optimize the brand experience).

This all-encompassing strategy ensures that brands stand out to their audience, achieve enduring success, and leave behind a lasting legacy.",2006,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66a694f9b11fb4000133eab1/picture,,,,
eTek Studio,eTek Studio,Cold,,15,information technology & services,abdullahshami97@gmail.com,http://www.etekstudio.com,http://www.linkedin.com/company/etekstudio,https://www.facebook.com/etekstudio,https://twitter.com/eTekStudio1,3 B8 Road,Dubai,Dubai,United Arab Emirates,,"3 B8 Road, Dubai, Dubai, United Arab Emirates","ecommerce magento, oscommerce, zen cart, open cart, design banner, brochure, ecards, graphics, letterhead, logo, visiting card, template, websites, cms wordpress, joomla, pyro, custom, html5, css3",'+1 888-379-7475,,"GoDaddy Hosting, WordPress.org, Google Tag Manager, Mobile Friendly, Woo Commerce, Apache, reCAPTCHA, Google Analytics, Google Font API, Node.js, React Native, Android",,,,,4302000.00,,66dbffc11be2b000011d3f6f,7310,"eTek Studio, was established in 2009 to develop custom websites. But later, eTek grew its scope of work. eTek Studio provides a wide range of services desired by its clients, from ready-made templates to complexly customized applications, tailored to requirements.

eTek has worked with clients like DHL, Souq (Amazon.ae now), Hepbit, Crateen, Moodati and Scrubs & Clogs. Fortune 500 companies like AT&T and GE have used CRM built by eTek.

eTek has helped its clients in bridging the gap between their businesses and the fast moving world of technology. eTek has branded itself as a ""can-do studio"", that believed in long term relationships with its clients. Client satisfaction is our cornerstone. We specifically focus on satisfying every pixel of our clients' requirements without hesitating to go extra miles. This approach has led us to deep relationships and loyalty with our clients.

eTek is exclusive channel partner of ROAR for MENA. ROAR is an AR platform, which let even non-technical users to create their own AR experience for personal or commercial use, by just following in-built tools to augment ROAR with 3D models, audios, videos and/or CTA buttons.

eTek is also exclusive MENA channel partner of ROKITT ASTRA which enables organizations to:
• Discover data relationships at a very deep level leveraging machine learning algorithms
• Learn about data flow and data relationships across the entire enterprise
• Enable non-technical people to leverage data information
• Reduce cost and effort related to data discovery and management
• Remove unnecessary waste of time and money from delivery cycles that have dependency on data info
• Address regulatory requirements related to data management

SPECIALTIES:
• Applications Development
• Augmented Reality (AR) apps, games and platform
• Automated, deep data discovery across the enterprise utilizing advanced machine learning and heuristics
• Branding
• Games development
• Website Development",2009,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66c15c346342a80001c4d289/picture,,,,
auStrix,auStrix,Cold,,12,information technology & services,abdullahshami97@gmail.com,http://www.austrix.com,http://www.linkedin.com/company/austrix,http://www.facebook.com/pages/Austrix/133816753354582,http://twitter.com/auStrix,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates","domain registration, web hosting, email hosting, dedicated server, vps server, cloud hosting, digtial signage",,"Domain and Hosting Solution Provider, Solution for Corporate, Business, and Individuals with 24x7 Customer support from 4 Centres.","Gmail, Google Apps, Zopim, Google Analytics, ASP.NET, Mobile Friendly, Microsoft-IIS, SAP, AI, Render",,,,,4169000.00,,66dbffc11be2b000011d3f70,7372,"Founded in 1999, auStrix.com is a privately owned Web Hosting Service Provider, providing services like hosting, e-commerce hosting, application hosting, cloud hosting etc for Hosting Companies, Corporate, Small Business and Individuals, having customer support centres in 4 countries with hosting partners and associates worldwide.",1999,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6671004c6ef26200017b3ff8/picture,,,,
SHS Services,SHS Services,Cold,,12,marketing & advertising,abdullahshami97@gmail.com,http://www.shsdigital.com,http://www.linkedin.com/company/shs-services,https://facebook.com/ShsServices,https://twitter.com/SHSServicesDxb,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates","seo, seo reseller, google map optimization, seo partner, local online marketing, seo dubai, seo for small businesses",'+971 55 943 8212,,Amazon AWS,,,,,3583000.00,,66dbffc11be2b000011d3fb6,7372,"SHS Services is a Dubai based Online Marketing Agency specializing in organic and paid traffic generation. We offer SEM, SEO, Web design & development services to businesses, agencies and media companies in UAE. 

It is because of our competent team, SHS Services is a trusted name in the online traffic generation industry for small and local businesses in Dubai, UAE. We help our clients build, long term & sustainable, online business models by diversifying web traffic from multiple sources which includes search engine, social media and paid traffic.

If you would like to discuss online advertising and marketing opportunities for your business, you simply get in touch for a free, no-obligation assessment from one of our team members at info@ShsDigital.com or visit our website http://www.shsdigital.com",2013,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6319b1e864fc1f000137bf79/picture,,,,
ARC International Architects and Engineers,ARC International Architects and Engineers,Cold,,58,architecture & planning,abdullahshami97@gmail.com,http://www.arc.ae,http://www.linkedin.com/company/arc-international-architects-&-engineering-consultants,https://www.facebook.com/arcinternationalarchitects,https://twitter.com/ARCConsultants,67 Airport Road,Dubai,Dubai,United Arab Emirates,,"67 Airport Road, Dubai, Dubai, United Arab Emirates","civic projects & retail, entertainment",'+971 4 430 8800,ARC is among the best architecture firms in Dubai providing architectural engineering and architectural design services to a variety of clients.,"Cloudflare DNS, Gmail, Google Apps, Bootstrap Framework, Mobile Friendly, Apache, Google Analytics",,,,,4600000.00,,66dbffc11be2b000011d3fc6,,"Established in 1983 as a local architectural practice in Dubai, ARC International is renowned for its architectural quality. We are listed with the Dubai Municipality as one of the few firms licensed to design and supervise the building towers of unlimited height in the Emirate of Dubai. Mr. Jamal Darkan, the Managing Director, has since restructured the company to offer comprehensive design services, including master planning, architectural design, interior design, engineering, tender documentation and site supervision. 

ARC International was founded on the philosophy that the purpose of architecture is to enhance people's lives - improving how they live, work, worship and play. We believe that architectural responses should not only stimulate and support their users but also be technically, socially, culturally and environmentally relevant to their time and space. In order to offer a more unique perspective in the development of designs, ARC International employs a diverse range of talented individuals. We incorporate the fine architectural qualities of other countries into our designs, while maintaining suitability to the project's existing environment.",1983,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66cadda21f500e0001b4356f/picture,,,,
MAGNiTT,MAGNiTT,Cold,,28,information technology & services,abdullahshami97@gmail.com,http://www.magnitt.com,http://www.linkedin.com/company/magnitt,https://facebook.com/Magnitt/,https://twitter.com/magnitt_mena,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates","startups, marketplaces, angels, pre seed, information technology, entrepreneurship, investors, funding, mentorship, networking, mba, venture capital, angel investing, exits, entrepreneurs, founders",'+971 50 600 1426,,"Cloudflare DNS, Gmail, Google Apps, Amazon AWS, CloudFlare Hosting, Hubspot, React Redux, Google Tag Manager, Hotjar, Google Analytics, Bootstrap Framework, Segment.io, Mobile Friendly, , IoT, Data Analytics, Basis, AI",1133000,Seed,1000000,3/26/2018,1000000.00,,66dbffc11be2b000011d3fce,7380,"MAGNiTT is a platform that empowers decision-makers through access to the most comprehensive, verified, and accurate data on startups and venture investments across the Emerging Venture Markets of the Middle East, Africa, Pakistan, Turkey and Southeast Asia.  Our platform comprises data on: 

- 30,000+ Startups
- 10,000+ Investment firms
- 15,000+ Funding Rounds
- 900+ Exits

Get all the latest VC happenings in our newsletter: http://ow.ly/JOJb50N5BoF",2015,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66d6694c0e60e90001b23073/picture,,,,
Pixelhunters,Pixelhunters,Cold,,14,animation,abdullahshami97@gmail.com,http://www.pixelhunters.com,http://www.linkedin.com/company/pixelhunters,https://facebook.com/pixelhuntersuae,https://twitter.com/pixelhunters1,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates","vfx, editing, motion graphics, game design, architectural visualizations, corporate presentations, videos, video games, exhibition management, consultancy, vr, ar, mr, 2d, 3d animation, metaverse, gamification, gamebased learning, content creation, anamorphic content, brand activations, immersive rooms, immersive exhibits",'+971 4 360 6009,"Pixelhunters-award winning experiential agency in Dubai 4 3D animation, game dev, VR/AR , films, visual effects. Multiplayer Team Training. Metaverse","Google Font API, Facebook Login (Connect), Facebook Widget, Google Dynamic Remarketing, Facebook Custom Audiences, Google Maps, Apache, Google Analytics, Google Tag Manager, Bootstrap Framework, DoubleClick Conversion, Vimeo, Mobile Friendly, DoubleClick, reCAPTCHA, AI",,,,,3954000.00,,66dbffc11be2b000011d3fd4,4833,"Pixelhunters is a pioneer of 3D content & technology implementations, VR/AR, Metaverse, and Game Development in the Middle East and worldwide. Our focus is on animation, 3D design, anamorphic content & fantastic user interactions to create immersive brand experiences, museum projects, VFX for movies, and entire games. We can handle your entire project from A-Z, starting from extensive R&D, project management, design & implementation. Pixelhunters also has an extensive portfolio in developing game-based & gamified educational projects where users can learn and share knowledge in exciting ways. We are proud to have over 13 years of industry experience, with 1500+ projects and over 150 international industry awards.

To nurture young talent, Pixelhunters aims to spearhead education in game design and 3D animation by providing dedicated mentorships and education programs for universities and schools across the UAE. 

Pixelhunters is also the founder of The Middle East Talents Awards and the UAE Chapter of the International Game Design Awards (IGDA).",2009,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66d279ce12fbf800017362cb/picture,,,,
Iqra'a Arabic Language Centre,Iqra'a Arabic Language Centre,Cold,,63,government administration,abdullahshami97@gmail.com,http://www.iqraalc.com,http://www.linkedin.com/company/iqra'a-arabic-language-center,https://www.facebook.com/IqraaUAE,https://twitter.com/IqraaUAE,شارع 28,Dubai,Dubai,United Arab Emirates,,"شارع 28, Dubai, Dubai, United Arab Emirates","modern standard & classic arabic, business arabic, arabic for diplomats, arabic for media, corporate training, arabic courses for young learners, calligraphy, cultural workshops, arabic teacher training",'+971 4 388 1155,Just another WordPress site,"Gmail, Google Apps, Mobile Friendly, Google Font API, Apache, WordPress.org, Basis",,,,,1739000.00,,66dbffc11be2b000011d3fdd,"8200, 8200","Iqra'a is a leading Arabic language centre in Dubai that prides itself on having a strong academic and management team, highly qualified instructors, innovative teaching methods and a friendly learning environment. 

At Iqra'a, we have made it our mission to make the Arabic language a ‘living-language' that continues to change, grow and adapt in a world that is defined by rapid globalization. By incorporating best teaching practices and ""edutaining""​ content in our curricula, we aim to improve the Arabic proficiency levels and teaching methods in corporations and schools across the UAE.

While teaching our students how to learn Arabic is our main mission, we are also keen on cultivating a genuine love of Arabic culture and Emirati culture in our learners, no matter where they come from or how old they are. 

At our centre, we offer private, group and tailor-made Arabic courses for adults and children, both native and non-native,  with the aim of helping them communicate with other members of the UAE community, so they can establish deeper ties with the rich Arabic and Emirati culture that surrounds them. 

Visit our website (www.iqraalc.com) or call us at 04 388 11 55, so we can help you learn Arabic! If you're interested in working with us to help Iqra'a students achieve their Arabic learning goals, email your CV to  jobs@iqraalc.com

Don't forget to follow us on our social media accounts as well: 

Facebook: www.facebook.com/IqraaUAE/
Twitter: @IqraaUAE
Instagram: @IqraaUAE",2013,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66a0f7f7487f020001385ce7/picture,,,,
